There are a total of 783 landmasses
--------------------------------------------------------
For rt = 0.950000:
--------------------------------------------------------
Degree distributions:
With 0 degrees: 917
With 1 degrees: 193
With 2 degrees: 184
With 3 degrees: 159
With 4 degrees: 159
With 5 degrees: 157
With 6 degrees: 138
With 7 degrees: 141
With 8 degrees: 129
With 9 degrees: 130
With 10 degrees: 124
With 11 degrees: 110
With 12 degrees: 111
With 13 degrees: 76
With 14 degrees: 83
With 15 degrees: 47
With 16 degrees: 75
With 17 degrees: 55
With 18 degrees: 60
With 19 degrees: 49
With 20 degrees: 44
With 21 degrees: 34
With 22 degrees: 31
With 23 degrees: 26
With 24 degrees: 20
With 25 degrees: 24
With 26 degrees: 20
With 27 degrees: 14
With 28 degrees: 16
With 29 degrees: 15
With 30 degrees: 12
With 31 degrees: 19
With 32 degrees: 16
With 33 degrees: 17
With 34 degrees: 13
With 35 degrees: 13
With 36 degrees: 30
With 37 degrees: 20
With 38 degrees: 10
With 39 degrees: 17
With 40 degrees: 14
With 41 degrees: 16
With 42 degrees: 13
With 43 degrees: 14
With 44 degrees: 11
With 45 degrees: 7
With 46 degrees: 15
With 47 degrees: 13
With 48 degrees: 5
With 49 degrees: 14
With 50 degrees: 11
With 51 degrees: 4
With 52 degrees: 9
With 53 degrees: 6
With 54 degrees: 11
With 55 degrees: 12
With 56 degrees: 8
With 57 degrees: 9
With 58 degrees: 7
With 59 degrees: 7
With 60 degrees: 5
With 61 degrees: 5
With 62 degrees: 6
With 63 degrees: 7
With 64 degrees: 4
With 65 degrees: 7
With 66 degrees: 6
With 67 degrees: 7
With 68 degrees: 6
With 69 degrees: 1
With 70 degrees: 4
With 71 degrees: 4
With 72 degrees: 9
With 73 degrees: 11
With 74 degrees: 8
With 75 degrees: 3
With 76 degrees: 5
With 77 degrees: 2
With 78 degrees: 3
With 79 degrees: 3
With 80 degrees: 7
With 81 degrees: 6
With 82 degrees: 8
With 83 degrees: 6
With 84 degrees: 7
With 85 degrees: 3
With 86 degrees: 4
With 87 degrees: 3
With 88 degrees: 2
With 89 degrees: 1
With 90 degrees: 4
With 91 degrees: 2
With 92 degrees: 1
With 93 degrees: 1
With 94 degrees: 4
With 95 degrees: 2
With 96 degrees: 3
With 97 degrees: 3
With 98 degrees: 5
With 99 degrees: 1
With 100 degrees: 2
With 101 degrees: 3
With 102 degrees: 0
With 103 degrees: 1
With 104 degrees: 2
With 105 degrees: 3
With 106 degrees: 2
With 107 degrees: 4
With 108 degrees: 0
With 109 degrees: 2
With 110 degrees: 3
With 111 degrees: 4
With 112 degrees: 3
With 113 degrees: 3
With 114 degrees: 2
With 115 degrees: 1
With 116 degrees: 3
With 117 degrees: 0
With 118 degrees: 2
With 119 degrees: 4
With 120 degrees: 1
With 121 degrees: 2
With 122 degrees: 1
With 123 degrees: 0
With 124 degrees: 1
With 125 degrees: 2
With 126 degrees: 2
With 127 degrees: 0
With 128 degrees: 1
With 129 degrees: 4
With 130 degrees: 2
With 131 degrees: 4
With 132 degrees: 0
With 133 degrees: 3
With 134 degrees: 4
With 135 degrees: 1
With 136 degrees: 0
With 137 degrees: 0
With 138 degrees: 2
With 139 degrees: 1
With 140 degrees: 0
With 141 degrees: 0
With 142 degrees: 1
With 143 degrees: 0
With 144 degrees: 0
With 145 degrees: 0
With 146 degrees: 0
With 147 degrees: 0
With 148 degrees: 0
With 149 degrees: 0
With 150 degrees: 0
With 151 degrees: 0
With 152 degrees: 0
With 153 degrees: 0
With 154 degrees: 0
With 155 degrees: 0
With 156 degrees: 0
With 157 degrees: 0
With 158 degrees: 0
With 159 degrees: 0
With 160 degrees: 0
With 161 degrees: 0
With 162 degrees: 0
With 163 degrees: 0
With 164 degrees: 0
With 165 degrees: 0
With 166 degrees: 0
With 167 degrees: 0
With 168 degrees: 0
With 169 degrees: 0
With 170 degrees: 0
With 171 degrees: 0
With 172 degrees: 0
With 173 degrees: 0
With 174 degrees: 0
With 175 degrees: 0
With 176 degrees: 0
With 177 degrees: 0
With 178 degrees: 0
With 179 degrees: 0
With 180 degrees: 0
With 181 degrees: 0
With 182 degrees: 0
With 183 degrees: 0
With 184 degrees: 0
With 185 degrees: 0
With 186 degrees: 0
With 187 degrees: 0
With 188 degrees: 0
With 189 degrees: 0
With 190 degrees: 0
With 191 degrees: 0
With 192 degrees: 0
With 193 degrees: 0
With 194 degrees: 0
With 195 degrees: 0
With 196 degrees: 0
With 197 degrees: 0
With 198 degrees: 0
With 199 degrees: 0
With 200 degrees: 0
With 201 degrees: 0
With 202 degrees: 0
With 203 degrees: 0
With 204 degrees: 0
With 205 degrees: 0
With 206 degrees: 0
With 207 degrees: 0
With 208 degrees: 0
With 209 degrees: 0
With 210 degrees: 0
With 211 degrees: 0
With 212 degrees: 0
With 213 degrees: 0
With 214 degrees: 0
With 215 degrees: 0
With 216 degrees: 0
With 217 degrees: 0
With 218 degrees: 0
With 219 degrees: 0
With 220 degrees: 0
With 221 degrees: 0
With 222 degrees: 0
With 223 degrees: 0
With 224 degrees: 0
With 225 degrees: 0
With 226 degrees: 0
With 227 degrees: 0
With 228 degrees: 0
With 229 degrees: 0
With 230 degrees: 0
With 231 degrees: 0
With 232 degrees: 0
With 233 degrees: 0
